year,denver_total_annual_wage,denver_total_employment,elpaso_total_annual_wage,elpaso_total_employment,wage_gap_total_usd,wage_gap_total_pct
2019,74737.0,459294.0,51506.0,231484.0,23231.0,45.1
2020,83252.0,422832.0,55666.0,224448.0,27586.0,49.6
2021,89908.0,448691.0,58331.0,234635.0,31577.0,54.1
2022,94627.0,486412.0,61165.0,243600.0,33462.0,54.7
2023,97890.0,495812.0,63830.0,252247.0,34060.0,53.4
2024,104325.0,490865.0,66313.0,253019.0,38012.0,57.3
